iter	RMSE
0	1.379885827
1	1.357082573
2	1.338277984
3	1.322196604
4	1.308918735
5	1.297666237
6	1.288256261
7	1.280221322
8	1.272868813
9	1.266200663
10	1.260986112
11	1.25657427
12	1.252475199
13	1.248669312
14	1.245535981
15	1.242963919
16	1.240245231
17	1.237733298
18	1.235691601
19	1.23377746
20	1.231796307
21	1.230267876
22	1.229006148
23	1.226967732
24	1.225510341
25	1.224185023
26	1.222957437
27	1.221877402
28	1.220700482
29	1.219719826
30	1.218500049
31	1.217744128
32	1.216920393
33	1.216153138
34	1.215473893
35	1.21431622
36	1.213383599
37	1.212378953
38	1.21165983
39	1.210773107
40	1.209703331
41	1.209008464
42	1.208332658
43	1.207659347
44	1.207223183
45	1.206697522
46	1.205900711
47	1.205349267
48	1.204462077
49	1.203815722
50	1.203273174
51	1.202924197
52	1.202342307
53	1.20181095
54	1.201268386
55	1.200513232
56	1.200083277
57	1.199351823
58	1.199023751
59	1.198528045
60	1.19804729
61	1.197429792
62	1.197027581
63	1.196407763
64	1.196024191
65	1.195662733
66	1.195135704
67	1.19468477
68	1.194408114
69	1.194010247
70	1.193780245
71	1.193044802
72	1.19255021
73	1.192148347
74	1.191780189
75	1.191588713
76	1.190968104
77	1.19063268
78	1.190389806
79	1.189967227
80	1.189428585
81	1.18917668
82	1.188773273
83	1.188610343
84	1.18812818
85	1.187774537
86	1.187471103
87	1.187032922
88	1.186733714
89	1.186484305
90	1.186227722
91	1.186087172
92	1.185705624
93	1.18516807
94	1.184771929
95	1.184364017
96	1.184080983
97	1.183867858
98	1.183497454
99	1.183251873
