iter	Passed	Remaining
0	115	11461
1	164	8038
2	210	6808
3	257	6174
4	302	5752
5	351	5504
6	398	5297
7	439	5054
8	482	4876
9	525	4730
10	581	4702
11	628	4608
12	670	4490
13	712	4377
14	762	4323
15	806	4234
16	848	4140
17	899	4099
18	944	4024
19	990	3960
20	1031	3879
21	1076	3817
22	1121	3755
23	1167	3696
24	1212	3638
25	1259	3585
26	1311	3546
27	1356	3486
28	1408	3448
29	1454	3393
30	1501	3342
31	1540	3274
32	1587	3222
33	1628	3161
34	1666	3095
35	1707	3035
36	1745	2972
37	1800	2937
38	1870	2926
39	1912	2868
40	1954	2812
41	1992	2751
42	2035	2698
43	2071	2636
44	2104	2571
45	2143	2516
46	2181	2459
47	2280	2470
48	2348	2444
49	2417	2417
50	2476	2379
51	2537	2342
52	2590	2297
53	2631	2241
54	2668	2183
55	2711	2130
56	2751	2075
57	2792	2022
58	2836	1971
59	2883	1922
60	2935	1876
61	2981	1827
62	3024	1776
63	3063	1723
64	3101	1669
65	3141	1618
66	3187	1569
67	3225	1517
68	3263	1466
69	3304	1416
70	3346	1366
71	3405	1324
72	3453	1277
73	3495	1228
74	3532	1177
75	3562	1124
76	3601	1075
77	3636	1025
78	3674	976
79	3730	932
80	3784	887
81	3824	839
82	3872	793
83	3904	743
84	3943	695
85	3987	649
86	4032	602
87	4074	555
88	4131	510
89	4180	464
90	4239	419
91	4300	373
92	4373	329
93	4433	283
94	4493	236
95	4549	189
96	4593	142
97	4639	94
98	4686	47
99	4725	0
